run,gap_seed,ego_seed,low_level,opinion_reward,max_reward,reward_diff,opinion_progress,max_progress,opinion_success,max_success,opinion_collision,max_collision,opinion_time,max_time,opinion_min_distance,max_min_distance,opinion_switch_count,max_switch_count
1,1390851128,647892279,SAC,198.45749140446998,140.501828358465,57.955663046004986,0.9388320019805669,0.9378119875202209,1.0,1.0,0.0,0.0,14.40000000000007,7.199999999999982,4.953861727156104,4.277843135209056,0,0
2,1695753998,207388624,SAC,232.5477875197657,142.18043214364076,90.36735537612495,0.9385798796840936,0.9379516940064052,1.0,1.0,0.0,0.0,8.249999999999982,7.549999999999981,2.580380802043957,3.7833660994014457,2,0
3,311111475,404285457,SAC,245.19514070939715,137.8694380998893,107.32570260950786,0.9375163159439985,0.9381631169061431,1.0,1.0,0.0,0.0,9.199999999999996,7.649999999999981,2.6360737399669034,3.0765874457592024,0,0
4,1570621944,249103477,SAC,151.84481066099067,118.40780828347636,33.43700237751432,0.958697061964213,0.9382742967365574,1.0,1.0,0.0,0.0,10.800000000000018,7.4499999999999815,2.263504948447073,3.6942391348433046,4,0
5,922121676,161042648,SAC,288.1145128270374,142.22760945441087,145.88690337262653,0.9388580312311554,0.938008158935655,1.0,1.0,0.0,0.0,7.89999999999998,7.499999999999981,3.920735294934031,3.9191631272861245,0,0
6,369140570,1862494042,SAC,192.65855961259035,119.85434948563574,72.80421012695462,0.9378038547040837,0.9386556739899614,1.0,1.0,0.0,0.0,17.000000000000107,7.349999999999982,3.406651903102895,4.026296334952358,4,0
7,1796035739,300026767,SAC,287.7427096161092,142.23966738060153,145.50304223550768,0.9381645074328426,0.9376647356014836,1.0,1.0,0.0,0.0,7.7499999999999805,7.349999999999982,4.394676774637522,4.2633678497494545,0,0
8,1033639716,389609433,SAC,287.91828027272464,142.32265623481783,145.59562403790682,0.9382717809132748,0.9382234446658106,1.0,1.0,0.0,0.0,7.89999999999998,7.499999999999981,3.8731716403271723,3.8727836491022134,0,0
9,1823296038,253877686,SAC,131.37045112279066,65.77212340419177,65.59832771859888,0.9375571066303687,0.9384874967508199,1.0,1.0,0.0,0.0,15.550000000000086,7.84999999999998,3.350461275412748,2.678081617557897,0,0
10,531725347,958804057,SAC,199.18843374915286,131.3657210489215,67.82271270023136,0.9375372388445842,0.9383106234823291,1.0,1.0,0.0,0.0,18.800000000000132,7.4499999999999815,3.6158908235096296,3.6939852717416723,0,0
11,265695473,1703729684,SAC,277.0409577316915,136.3541011154647,140.6868566162268,0.9377404061108803,0.9380419417677137,1.0,1.0,0.0,0.0,8.449999999999985,7.149999999999983,5.451750632850556,5.405290531784264,0,0
12,212984476,949539216,SAC,287.67552033266315,142.1410643353472,145.53445599731594,0.9381666451941624,0.9377215640443555,1.0,1.0,0.0,0.0,7.94999999999998,7.549999999999981,3.9230422025955725,3.914947825439516,0,0
13,200071088,571981485,SAC,287.2119791224751,141.93243448739452,145.27954463508058,0.9386064515694408,0.9383918224327914,1.0,1.0,0.0,0.0,7.349999999999982,7.299999999999982,3.8446572324381605,3.8576141216040805,2,0
14,1243862422,1800188482,SAC,273.0839877456002,122.53820616458756,150.54578158101265,0.9386483995562998,0.9377730135203439,1.0,1.0,0.0,0.0,9.099999999999994,7.349999999999982,4.268430469886316,3.5902528413175134,0,0
15,619570852,505913792,SAC,160.98198195632233,123.1942466336684,37.78773532265393,0.9386461955671197,0.938599601652141,1.0,1.0,0.0,0.0,23.850000000000204,7.4499999999999815,3.605218721320689,3.651141893235307,0,0
16,1324919352,776213899,SAC,276.2115584079524,130.14274651846125,146.06881188949114,0.93803336003469,0.9388804875999759,1.0,1.0,0.0,0.0,7.99999999999998,7.349999999999982,4.240734709746609,4.3083329151342635,0,0
17,442620898,806899909,SAC,287.16056215903615,141.09587024278306,146.06469191625308,0.9378295519778093,0.9377110953964312,1.0,1.0,0.0,0.0,7.699999999999981,7.249999999999982,3.906992167923633,4.005680327546354,0,0
18,1599435267,418461138,SAC,-933.58260831729,142.2857360627885,-1075.8683443800785,0.9409129381002397,0.9383408221788088,0.0,1.0,1.0,0.0,7.89999999999998,7.199999999999982,1.4548899067022008,5.457386187818686,1,0
19,269676599,255985076,SAC,276.13548053956026,134.85438695457322,141.28109358498705,0.9381514475856629,0.9386798957428315,1.0,1.0,0.0,0.0,8.499999999999986,7.499999999999981,3.7505524832253183,3.742215391306779,0,0
20,884585951,2132084004,SAC,267.78036607018373,118.49765652562945,149.28270954455428,0.9386014422610043,0.9377957591682511,1.0,1.0,0.0,0.0,7.699999999999981,7.199999999999982,4.137149756735867,4.231677938310738,0,0
21,1836494974,1349251823,SAC,66.95759118018735,92.9744399608579,-26.016848780670557,0.9379052249893254,0.937506286415352,1.0,1.0,0.0,0.0,31.450000000000312,7.399999999999982,4.809495286562206,3.533623673350611,0,0
22,1999744784,1946412080,SAC,286.62804747146174,141.79372957361892,144.83431789784282,0.9380085442936681,0.9379212406329938,1.0,1.0,0.0,0.0,7.99999999999998,7.499999999999981,3.8062483510911704,3.805552328623313,0,0
23,1552984408,1287489453,SAC,284.508314911486,141.34528245319223,143.1630324582938,0.938713663757653,0.9381314334304154,1.0,1.0,0.0,0.0,7.89999999999998,7.249999999999982,3.9748618607560733,3.513250504658925,1,0
24,1066984055,772092314,SAC,277.81611637685245,134.4404919929172,143.37562438393525,0.9380327158891075,0.9375514454020724,1.0,1.0,0.0,0.0,8.399999999999984,7.4499999999999815,3.7837436312509536,3.7615527754703613,2,0
25,1048386555,351564607,SAC,283.9874196919186,142.26252451268726,141.72489517923134,0.93851892038856,0.9376840592107705,1.0,1.0,0.0,0.0,7.649999999999981,7.149999999999983,5.558303280330749,5.565522973265659,2,0
26,1289560149,2126508550,SAC,250.65732053904713,102.44863268337491,148.20868785567222,0.9388371482629152,0.9375810922704197,1.0,1.0,0.0,0.0,7.99999999999998,7.199999999999982,4.491700912410693,4.640851758041293,0,0
27,1475216845,1927728186,SAC,137.78186164866685,120.38259129673315,17.399270351933694,0.9377631950192324,0.9375737674299072,1.0,1.0,0.0,0.0,26.100000000000236,7.4499999999999815,3.6906388533375534,3.627607079442762,0,0
28,1236683272,314395342,SAC,246.93708435125694,128.57061221770073,118.36647213355621,0.9384130675334135,0.9389283852998367,1.0,1.0,0.0,0.0,12.800000000000047,7.599999999999981,3.569177299263983,3.87517133655352,0,0
29,507088656,1795823848,SAC,287.09583392320985,142.07170037565913,145.02413354755072,0.9377653306556495,0.9378203126320863,1.0,1.0,0.0,0.0,7.94999999999998,7.4499999999999815,3.9278022790778713,4.034448436748982,0,0
30,708506836,1469118510,SAC,275.662018797055,127.68289505179939,147.9791237452556,0.9377200957586631,0.9376039567385872,1.0,1.0,0.0,0.0,8.74999999999999,7.4499999999999815,3.883353961075037,3.6812139723471464,2,0
31,652768597,2100080514,SAC,219.16396590506758,88.49813409577843,130.66583180928916,0.9378903159521497,0.9381762316875935,1.0,1.0,0.0,0.0,16.200000000000095,7.549999999999981,3.6436854332353548,3.662697588805133,0,0
32,1811180649,168393879,SAC,286.1332137312643,141.4773190769837,144.6558946542806,0.9386172512881992,0.9379901270183555,1.0,1.0,0.0,0.0,8.04999999999998,7.499999999999981,3.7959563082989405,3.7942786334989513,0,0
33,333377414,1347535308,SAC,195.61454482075158,114.26736689104149,81.34717792971009,0.9378631889676328,0.9387895237553898,1.0,1.0,0.0,0.0,19.150000000000137,7.4499999999999815,3.6239827735180303,3.613419372858512,2,0
34,1460814402,1504004731,SAC,277.98228856971946,142.91345186528838,135.06883670443108,0.9379621489795706,0.9376736635391425,1.0,1.0,0.0,0.0,7.84999999999998,7.349999999999982,2.566432088170742,3.8408350205827566,2,0
35,2133201995,1959386986,SAC,258.87131729817156,137.47164972276101,121.39966757541055,0.9376353403320887,0.9375094911372144,1.0,1.0,0.0,0.0,11.55000000000003,7.099999999999983,3.7867985480590503,4.462549257269105,0,0
36,295334609,401991735,SAC,-983.5577187949087,117.06735978484113,-1100.62507857975,0.9323759000708429,0.9377488536761323,0.0,1.0,1.0,0.0,13.950000000000063,7.699999999999981,1.467438837089298,3.5681409996813107,2,0
37,1159380353,2036236841,SAC,236.17571838721761,61.46052859708087,174.71518979013675,0.9387625983629742,0.9384090601144195,1.0,1.0,0.0,0.0,14.650000000000073,7.79999999999998,3.7056461090097867,2.9457972205372633,0,0
38,279172786,260573195,SAC,278.0835510386256,139.73473973532157,138.34881130330405,0.9388787311948958,0.9379833986091508,1.0,1.0,0.0,0.0,8.249999999999982,7.649999999999981,3.723656196154877,3.8776483216836777,2,0
39,1329753547,1914012528,SAC,289.12985508653105,143.50299234890275,145.6268627376283,0.9381435571767085,0.9379755519717954,1.0,1.0,0.0,0.0,7.7499999999999805,7.199999999999982,4.127306967650626,4.388881168044461,0,0
40,1222328495,1656961615,SAC,277.3854672658659,137.0071829968009,140.37828426906498,0.9383629891217136,0.9385879128062284,1.0,1.0,0.0,0.0,8.649999999999988,6.999999999999983,5.47670762171572,5.196271915024357,1,0
41,1490376253,96907015,SAC,269.9736297227896,134.9745211744003,134.9991085483893,0.9386776430543433,0.9388180960489003,1.0,1.0,0.0,0.0,8.699999999999989,7.499999999999981,3.5546503413602863,3.6473167006742804,2,0
42,1982966162,1526706729,SAC,288.4172563601988,142.40372379512308,146.0135325650757,0.9380920084835993,0.9388380414760953,1.0,1.0,0.0,0.0,7.84999999999998,7.549999999999981,3.9678749116982366,3.9648840564709937,0,0
43,721762278,502922616,SAC,247.21769229067905,139.13351341721858,108.08417887346047,0.9386424175770345,0.9378877596052821,1.0,1.0,0.0,0.0,10.300000000000011,7.4499999999999815,2.86874183547192,3.607478716969238,0,0
44,2120395274,253207296,SAC,288.3787814049534,142.32749124387436,146.051290161079,0.9380468598043685,0.9386530335091561,1.0,1.0,0.0,0.0,7.84999999999998,7.549999999999981,3.9513038572810477,3.95137133132937,0,0
45,937195259,1234510745,SAC,288.26757359250917,142.2024241925372,146.06514939997197,0.9387815844747502,0.9375287383057451,1.0,1.0,0.0,0.0,7.89999999999998,7.499999999999981,3.91646150205648,3.91324859957113,0,0
46,555512015,1063497603,SAC,-240.80000000000342,107.144808695282,-347.9448086952854,0.0,0.9380661282327907,0.0,1.0,0.0,0.0,40.04999999999986,7.4499999999999815,4.013452425797505,3.534769374944026,0,0
47,1708957520,1679116188,SAC,276.09803670827694,136.2097749542391,139.88826175403784,0.9380817170007905,0.9380346362533305,1.0,1.0,0.0,0.0,8.599999999999987,7.499999999999981,3.7043445480793284,3.706924743620991,0,0
48,2132480060,346094055,SAC,219.81136202724696,143.57308858149577,76.23827344575119,0.938701338678243,0.9380193392301897,1.0,1.0,0.0,0.0,15.050000000000079,7.149999999999983,3.11888113661523,4.358522465048498,0,0
